Vial	Depth	Age	Cribrionella_ohridana	Cyclotella_bifacialis	Cyclotella_cavitata	Cyclotella_fottii	Cyclotella_meneghiniana	Cyclotella_sollevata	Discostella_pseudostelligera	Lindavia_radiosa	Lindavia_thienemannii	Pantocsekiella_polymorpha	Pantocsekiella_costei	Pantocsekiella_delicatula	Pantocsekiella_minuscula	Pantocsekiella_multiocellata	Pantocsekiella_ocellata	Pantocsekiella_preocellata	Pantocsekiella_rossii
1769	284.08	-766.6031	0	0	204	0	0	0	0	0	0	0	0	0	20	0	0	0	0
1777	285.36	-770.2044	0	0	214	0	0	0	0	0	0	0	0	0	5	0	0	0	0
1785	286.64	-774.4643	0	0	243	0	0	0	0	0	0	0	0	0	2	0	0	0	0
1793	287.92	-780.0606	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1801	289.2	-786.0715	0	0	179	0	0	0	0	0	0	0	0	0	3	0	0	0	0
1809	290.48	-790.9665	0	0	213	0	0	0	0	0	0	0	0	0	2	0	0	0	0
1817	291.76	-794.9765	1	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1825	293.04	-800.24405	0	0	215	0	0	0	0	0	0	0	0	0	18	0	0	0	0
1833	294.32	-805.52925	0	0	217	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1841	295.6	-810.89175	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1849	296.88	-815.33	0	0	239	0	0	0	0	0	0	0	0	0	3	0	0	0	0
1857	298.16	-819.36005	0	0	239	0	0	0	0	0	0	0	0	0	8	0	0	0	0
1865	299.44	-822.9437	0	0	214	0	0	0	0	0	0	0	0	0	5	0	0	0	0
1873	300.72	-826.13785	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1881	302	-830.15225	0	0	243	0	0	0	0	0	0	0	0	0	11	0	0	0	0
1889	303.28	-836.32035	0	0	224	0	0	0	0	0	0	0	0	0	21	0	0	0	0
1897	304.56	-844.27915	0	0	241	0	0	0	0	0	0	0	0	0	4	0	0	0	0
1905	305.84	-852.24325	0	0	243	0	0	0	0	0	0	0	0	0	6	0	0	0	0
1913	307.12	-860.3957	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1921	308.4	-868.14435	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1929	309.68	-872.9032	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1937	310.96	-876.43965	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1945	312.24	-880.7031	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1953	313.52	-884.5631	0	0	183	0	0	0	0	0	0	0	0	0	10	0	75	0	0
1961	314.8	-888.7826	0	0	244	0	0	0	0	0	0	0	0	0	2	0	2	0	0
1969	316.08	-894.99485	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977	317.36	-902.6048	0	0	178	0	0	0	0	0	0	0	0	0	6	0	0	0	0
1985	318.64	-909.7202	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1993	319.92	-919.0874	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	321.2	-922.6238	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009	322.48	-925.44295	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	323.76	-928.65645	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025	325.04	-931.83775	0	0	236	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2033	326.32	-935.0292	0	0	206	0	0	0	0	0	0	0	0	0	21	0	0	0	0
2041	327.6	-938.4111	0	0	171	0	0	0	0	0	0	0	0	0	2	0	0	0	0
2049	328.88	-941.5827	0	0	197	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2057	330.16	-944.97595	0	0	219	0	0	0	0	0	0	0	0	0	5	0	0	0	0
2065	331.44	-948.59765	0	0	267	0	0	0	0	0	0	0	0	0	2	0	0	0	0
2073	332.72	-952.0349	0	0	188	0	0	0	0	0	0	0	0	0	0	0	13	0	0
2081	334	-955.74975	0	0	207	0	0	0	0	0	0	0	0	0	3	0	7	0	0
2089	335.28	-959.49625	0	0	49	0	0	0	0	0	0	0	0	0	5	0	4	54	0
2097	336.56	-962.8904	0	0	13	0	0	0	0	0	0	0	0	0	9	0	12	95	0
2105	337.84	-965.7817	62	0	6	0	0	0	0	0	0	0	0	0	0	0	5	172	0
2113	339.12	-968.3412	22	0	33	0	0	0	0	0	0	0	0	0	0	0	0	201	0
2121	340.4	-970.862	4	0	31	0	0	0	0	0	0	0	0	0	0	0	1	72	0
2129	341.68	-973.44305	11	0	5	0	0	0	0	0	0	0	15	0	0	0	0	188	0
2137	342.94	-976.083	6	0	6	0	0	0	0	0	0	0	2	0	0	0	1	204	0
2145	344.24	-978.6277	12	0	5	0	0	0	0	0	0	0	2	0	0	0	4	174	0
2153	345.52	-980.9072	15	0	5	0	0	0	0	0	0	0	5	0	0	0	3	177	0
2161	346.8	-983.30705	4	0	20	0	0	0	0	0	0	0	1	0	0	0	1	171	0
2169	348.08	-986.68085	2	0	11	0	0	0	0	0	0	0	0	0	0	0	3	191	0
2177	349.36	-992.2506	7	0	0	0	0	0	0	0	0	0	1	0	0	0	3	166	0
2185	350.64	-999.22635	7	0	0	0	0	0	0	0	0	0	1	0	0	0	2	195	0
2193	351.92	-1005.615	49	0	0	0	0	0	0	0	0	0	3	0	0	0	2	167	0
2201	353.2	-1010.2465	18	0	0	0	0	0	0	0	0	0	11	0	0	0	0	185	0
2209	354.48	-1013.814	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	198	0
2217	355.76	-1017.316	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	220	0
2225	357.04	-1020.8565	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	191	0
2233	358.32	-1024.343	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	189	0
2241	359.6	-1027.75	0	0	46	0	0	0	0	0	0	0	9	0	2	0	2	150	0
2249	360.88	-1030.9785	0	0	6	0	0	0	0	0	0	0	16	0	2	0	0	215	0
2257	362.16	-1034.2175	1	0	3	0	0	0	0	0	0	0	7	0	3	0	0	136	0
2265	363.44	-1038.349	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	88	0
2273	364.72	-1043.2405	0	0	11	0	0	1	0	0	0	0	0	0	4	0	0	59	0
2281	366	-1048.3885	0	0	127	0	0	0	0	0	0	0	2	0	5	0	0	3	0
2289	367.28	-1053.521	1	0	173	0	0	0	0	0	0	0	1	0	6	0	0	0	0
2297	368.56	-1058.1325	0	0	226	0	0	1	0	0	0	0	2	0	1	0	0	0	0
2305	369.84	-1061.8805	5	0	201	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2313	371.12	-1065.202	0	0	53	0	0	193	0	0	0	0	0	0	0	0	0	0	0
